Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
Disposition des feuilles sur la tige,Division du limbe,,Base du limbe,Sommet du limbe,,Taille du limbe,,Taille du pétiole,,Couleur du dessus et du dessous du limbe,,Texture du limbe
alterne,simple,ovale,en_coin,aigu,pennée,petit,dentée,court,glabre,contrasté,mat  ,coriace
opposé,composé_penné,obovale,arrondie,arrondi,palmée,moyen,entière,moyen,glabre_pubescent,identique,luisant,gaufré
verticillé,composé_palmé,elliptique,cordée,échancré,arquée,grand,ondulée,long,pubescent,,mat_luisant,mou
,composé_trifoliolé,oblong,tronquée,,uninervée,,,absent,marge,,luisant_mat,rude
,composé_bipenné,lobé_profond,asymétrique,,en_éventail,,,,,,,papyracé
,,lobé_peu_profond,,,,,,,,,,
,,triangulaire,,,,,,,,,,
,,deltoide,,,,,,,,,,
,,aciculaire,,,,,,,,,,
,,circulaire,,,,,,,,,,
